h,K_0.2,K_0.3,K_0.4,K_0.5,K_0.6,K_0.7,K_0.8,K_0.9,K_1,K_1.1,K_1.2,K_1.3,K_1.4,K_1.5,K_1.6,K_1.7,K_1.8,K_1.9,K_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4.01E-12,963.1454519,1580.599461,2069.814669,2515.481777,2938.979434,3349.003344,3750.081348,4144.933671,4535.347145,4922.566259,5307.492793,5690.798185,6072.991653,6454.46401,6835.517212,7216.385079,7597.248315,7978.24569
0.02,4.09E-12,1401.202939,2725.8847,3707.023055,4572.132687,5383.523666,6164.049016,6924.701998,7671.736138,8409.107125,9139.498465,9864.819264,10586.47312,11305.51579,12022.7538,12738.80938,13454.16513,14169.19582,14884.19175
0.03,3.12E-12,1374.079343,3413.45433,4930.523818,6209.644543,7386.08413,8507.374233,9594.563289,10658.89992,11707.18835,12743.89965,13772.14316,14794.16851,15811.64938,16825.8555,17837.76313,18848.12923,19857.54334,20866.465
0.04,2.11E-12,1130.125558,3614.913106,5733.729163,7449.596408,8983.495028,10425.99933,11814.74578,13168.54336,14498.20129,15810.55944,17110.2454,18400.54129,19683.85474,20961.995,22236.3452,23507.97524,24777.71907,26046.22928
0.05,1.33E-12,882.043998,3373.953237,6088.481139,8293.412227,10197.42133,11953.53801,13627.28187,15249.49232,16836.93359,18399.76509,19944.64044,21476.16623,22997.66264,24511.59376,26019.82771,27523.80279,29024.6384,30523.21198
0.06,8.03E-13,706.7906527,2893.963274,5980.62699,8721.331566,11032.95133,13110.57345,15062.54557,16939.27126,18766.75165,20560.01996,22328.56238,24078.76226,25815.12282,27540.93386,29258.66184,30970.1919,32676.98546,34380.18707
0.07,4.69E-13,599.2199009,2416.740696,5470.707062,8707.805663,11476.86694,13903.6013,16139.50389,18265.14232,20321.12927,22329.91236,24305.09616,26255.54289,28187.34858,30104.88176,32011.3713,33909.26022,35800.43005,37686.34941
0.08,2.68E-13,535.2772636,2054.383671,4760.436656,8262.108075,11504.25888,14323.45292,16864.85323,19244.22576,21524.39905,23739.27518,25908.62519,28044.88586,30156.37039,32248.90288,34326.71356,36392.96165,38450.05773,40499.87204
0.09,1.49E-13,496.3485112,1818.314748,4092.17403,7473.623409,11106.44098,14348.54042,17231.73445,19882.75348,22391.75585,24809.70446,27165.69638,29477.44618,31756.44013,34010.52299,36245.27739,38464.80647,40672.20349,42869.84753
0.1,8.19E-14,471.340837,1676.27143,3575.945833,6563.714489,10322.80178,13964.01612,17221.77199,20175.08068,22928.59721,25554.46889,28095.3533,30576.78641,33014.87771,35420.34199,37800.63304,40161.12849,42505.82311,44837.75475
0.11,4.42E-14,454.1892185,1593.095222,3223.395749,5754.702714,9282.589161,13188.6837,16819.03981,20105.40052,23129.8262,25977.93452,28708.97952,31359.56631,33952.51586,36502.66856,39020.11451,41511.98739,43983.4975,46438.55319
0.12,2.35E-14,441.6458647,1544.18246,3000.43621,5130.561625,8228.765138,12096.02833,16032.91492,19658.84637,22981.64145,26075.16747,29009.82266,31835.35083,34583.78418,37275.82137,39925.2873,42541.76735,45132.13789,47701.4781
0.13,1.24E-14,431.9462776,1514.758795,2863.851442,4692.108231,7336.651082,10870.13619,14910.94569,18840.71393,22471.11798,25834.01155,28992.92296,32006.26165,34916.51564,37752.14294,40532.14221,43269.51527,45973.43985,48650.58935
0.14,6.41E-15,424.1001084,1496.485164,2780.167402,4402.901948,6652.481758,9742.995371,13577.06327,17685.9984,21602.40308,25243.88932,28647.60983,31867.27251,34951.76457,37937.84234,40851.07414,43709.06044,46524.12455,49305.11376
0.15,3.29E-15,417.528532,1484.734875,2727.814883,4216.862627,6163.648197,8822.356466,12260.211,16280.36008,20404.01626,24309.4747,27965.9069,31409.21237,34684.5209,37833.02801,40886.80308,43868.99436,46796.0162,49679.6188
0.16,1.67E-15,411.8781007,1476.914114,2693.968021,4096.558556,5830.758401,8119.627133,11127.29293,14818.61426,18939.88723,23055.90035,26953.966,30626.92092,34107.27005,37432.89925,40638.67878,43752.71767,46796.06143,49784.08004
0.17,8.35E-16,406.9230463,1471.53163,2671.241113,4016.732568,5607.561887,7611.627163,10221.47924,13502.91768,17367.86866,21534.68129,25635.21361,29528.5248,33217.86058,36731.86344,40102.40474,43359.08022,46526.55615,49623.98276
0.18,4.14E-16,402.5125413,1467.703493,2655.386242,3961.726547,5456.252124,7256.610748,9531.897006,12414.23092,15899.91347,19874.65347,24053.77826,28136.65236,32026.57017,35730.91696,39274.64059,42684.67412,45986.18611,49200.7885
0.19,2.03E-16,398.5413849,1464.88945,2643.913722,3922.192164,5350.677673,7009.921357,9028.323547,11553.20154,14650.58766,18281.94569,22318.43266,26490.87617,30555.67659,34442.41509,38159.56149,41728.74677,45172.88295,48513.43239
0.2,9.82E-17,394.9332237,1462.749695,2635.321801,3892.587304,5274.131077,6835.689959,8668.049286,10898.38936,13635.55519,16894.30603,20623.39449,24687.10321,28841.93287,32888.46169,36771.33148,40498.51967,44088.7456,47561.66006
0.21,4.71E-17,391.6306553,1461.064835,2628.675696,3869.577187,5216.32731,6708.844813,8409.462801,10414.84623,12837.85942,15744.22095,19118.73892,22907.10595,26973.75585,31104.21065,35131.92235,39009.56595,42743.71341,46350.5282
0.22,2.23E-17,388.5892059,1459.68985,2623.375553,3851.099496,5170.989129,6613.027013,8220.023706,10060.78593,12230.32537,14817.87716,17852.07985,21304.83997,25122.23575,29174.66708,33275.92731,37283.73917,41154.32011,44892.18239
0.23,1.05E-17,385.7735441,1458.526854,2619.025484,3835.837222,5134.235284,6537.908336,8076.92229,9798.785881,11775.46014,14092.8459,16813.15693,19939.10116,23439.51801,27262.44162,31288.17632,35356.1506,39342.37531,43203.70868
0.24,4.85E-18,383.1550199,1457.50856,2615.357512,3822.921795,5103.602153,6477.015211,7965.045823,9600.343367,11434.3593,13537.56771,15981.56209,18803.47146,21990.99625,25514.28435,29324.53812,33314.08986,37344.79096,41307.0898
0.25,2.22E-18,380.7100101,1456.58799,2612.186088,3811.762798,5077.475463,6426.23745,7874.64705,9445.476095,11174.47243,13114.71954,15330.9231,17878.17017,20773.60627,23997.95788,27524.14688,31307.57164,35253.36273,39242.63184
