"","h","MPAProp","mpa_yield","mpa_prop_msy"
"1",0,0,0,0
"2",0,0.1,0,0
"3",0,0.2,0,0
"4",0,0.3,0,0
"5",0,0.4,0,0
"6",0,0.5,0,0
"7",0,0.6,0,0
"8",0,0.7,0,0
"9",0,0.8,0,0
"10",0.09,0,23918.1376711047,1
"11",0.09,0.1,21902.2297022222,0.999033925243503
"12",0.09,0.2,19882.7534754994,0.985510481501522
"13",0.09,0.3,17805.1223689855,0.953071700355728
"14",0.09,0.4,15581.5636614923,0.893480750849919
"15",0.09,0.5,13196.0092039888,0.807555413290599
"16",0.09,0.6,10662.3098198359,0.752116911367022
"17",0.09,0.7,8034.98015021269,0.721169062412827
"18",0.09,0.8,5349.46869771527,0.707827072548392
"19",0.1,0,23662.4603950529,0.989310318404903
"20",0.1,0.1,21923.409354576,1
"21",0.1,0.2,20175.0806802238,1
"22",0.1,0.3,18301.4212347653,0.979637561240644
"23",0.1,0.4,16165.58935803,0.926970054567732
"24",0.1,0.5,13775.5877471129,0.843023847928055
"25",0.1,0.6,11172.6089926047,0.788113299033604
"26",0.1,0.7,8440.27949569736,0.757546171443018
"27",0.1,0.8,5625.58811241074,0.744362438585984
"28",0.11,0,22593.4007967261,0.944613711460529
"29",0.11,0.1,21360.8455670632,0.974339584760097
"30",0.11,0.2,20105.4005182131,0.996546226351451
"31",0.11,0.3,18588.171890708,0.994986736021576
"32",0.11,0.4,16615.3791251944,0.952761978126973
"33",0.11,0.5,14260.7833425818,0.872716334767729
"34",0.11,0.6,11613.8801013167,0.819240462750282
"35",0.11,0.7,8796.72859336122,0.789538790809146
"36",0.11,0.8,5870.17254245497,0.776725181671679
"37",0.12,0,20567.6988653492,0.8599205819522
"38",0.12,0.1,20136.7803617119,0.918505878170304
"39",0.12,0.2,19658.8463680321,0.974412280160162
"40",0.12,0.3,18681.8288302337,1
"41",0.12,0.4,16948.8304374462,0.971882801640914
"42",0.12,0.5,14665.3935901862,0.897477244727311
"43",0.12,0.6,11996.158810387,0.846206316003995
"44",0.12,0.7,9111.29027251291,0.817771860086713
"45",0.12,0.8,6087.65312495971,0.805501617753302
"46",0.13,0,17506.2459679616,0.73192345527431
"47",0.13,0.1,18218.4837801672,0.831005957399802
"48",0.13,0.2,18840.7139325925,0.933860648748766
"49",0.13,0.3,18602.2070622226,0.995738009981001
"50",0.13,0.4,17182.6906127363,0.985292852746919
"51",0.13,0.5,15001.4037270279,0.918040037669666
"52",0.13,0.6,12327.9455520194,0.869610477350428
"53",0.13,0.7,9389.7943499727,0.842768626807351
"54",0.13,0.8,6281.72403518932,0.8311805500019
"55",0.14,0,13491.7470537611,0.564080165407709
"56",0.14,0.1,15656.7930844691,0.714158679940951
"57",0.14,0.2,17685.9983951264,0.876625906753509
"58",0.14,0.3,18374.1873741493,0.983532583513102
"59",0.14,0.4,17332.7275191468,0.993896295296536
"60",0.14,0.5,15279.2143924047,0.935041200917346
"61",0.14,0.6,12616.4500616875,0.889961519891261
"62",0.14,0.7,9637.14093620291,0.864968893932831
"63",0.14,0.8,6455.48174790389,0.854171695491917
"64",0.15,0,9420.34436982257,0.3938577701726
"65",0.15,0.1,12898.4059790929,0.588339421596425
"66",0.15,0.2,16280.3600792044,0.806953902056158
"67",0.15,0.3,18027.2757574681,0.964963115832305
"68",0.15,0.4,17413.6968567779,0.998539253227726
"69",0.15,0.5,15507.8272276437,0.949031607394871
"70",0.15,0.6,12867.7938247194,0.907691251810252
"71",0.15,0.7,9857.46429510224,0.884743726875121
"72",0.15,0.8,6611.53525781216,0.874820269270178
"73",0.16,0,6113.438161308,0.255598418462721
"74",0.16,0.1,10496.0180001498,0.478758473665913
"75",0.16,0.2,14818.6142628885,0.734500867568482
"76",0.16,0.3,17593.9052416827,0.941765680521044
"77",0.16,0.4,17439.171069629,1
"78",0.16,0.5,15695.0018047092,0.960486119179687
"79",0.16,0.6,13087.1788877175,0.923166624292416
"80",0.16,0.7,10054.2654756369,0.902407357673781
"81",0.16,0.8,6752.09381580706,0.893418593374709
"82",0.17,0,3671.80265456241,0.153515407639713
"83",0.17,0.1,8607.30027649426,0.392607743498512
"84",0.17,0.2,13502.9176812318,0.669286923569419
"85",0.17,0.3,17107.7898552292,0.915744920408587
"86",0.17,0.4,17421.3326229139,0.998977104666049
"87",0.17,0.5,15847.3938717251,0.969812047705414
"88",0.17,0.6,13279.0294734009,0.936699721002822
"89",0.17,0.7,10230.5200912873,0.918226858598269
"90",0.17,0.8,6879.03715306799,0.910215388695954
"91",0.18,0,2020.1551550625,0.0844612228109646
"92",0.18,0.1,7224.17281780975,0.329518675721022
"93",0.18,0.2,12414.2309152458,0.615324970046568
"94",0.18,0.3,16602.403795763,0.888692640674158
"95",0.18,0.4,17370.8200497367,0.99608060385328
"96",0.18,0.5,15970.6813234955,0.977356862772525
"97",0.18,0.6,13447.1113279205,0.948556176819079
"98",0.18,0.7,10388.7662284591,0.932430032251613
"99",0.18,0.8,6993.97198833804,0.925423251865202
"100",0.01,0,5185.36142409103,0.216796202756012
"101",0.01,0.1,4665.14757361822,0.212792978417131
"102",0.01,0.2,4144.93367087058,0.205448183160604
"103",0.01,0.3,3624.71638650107,0.194023637591359
"104",0.01,0.4,3104.49557232895,0.178018528514555
"105",0.01,0.5,2584.38166065239,0.158156255259198
"106",0.01,0.6,2064.69280269942,0.145642961040116
"107",0.01,0.7,1545.78106211366,0.138739543647846
"108",0.01,0.8,1028.45634131444,0.13608253126658
"109",0.19,0,1022.02127634166,0.0427299687958714
"110",0.19,0.1,6283.35544033781,0.286604849579489
"111",0.19,0.2,11553.2015399507,0.572647104766004
"112",0.19,0.3,16108.1994956834,0.862238897597366
"113",0.19,0.4,17296.6674510125,0.991828532557681
"114",0.19,0.5,16069.6812147832,0.983415353403192
"115",0.19,0.6,13594.6326121802,0.958962294682198
"116",0.19,0.7,10531.1763988471,0.945211869560078
"117",0.19,0.8,7098.27773297675,0.939224702822216
"118",0.2,0,486.136745757161,0.0203250249848866
"119",0.2,0.1,5683.30651395166,0.259234611826714
"120",0.2,0.2,10898.3893571831,0.540190620792214
"121",0.2,0.3,15648.3639355318,0.837624842713862
"122",0.2,0.4,17206.3358973774,0.986648724797643
"123",0.2,0.5,16148.4589188517,0.988236308010278
"124",0.2,0.6,13724.3293328995,0.968111071884334
"125",0.2,0.7,10659.6166293454,0.956739853310243
"126",0.2,0.8,7193.14364471417,0.951777100898386
"127",0.21,0,221.405883219407,0.00925681950091313
"128",0.21,0.1,5309.27375889142,0.24217372731688
"129",0.21,0.2,10414.8462274384,0.516223275262901
"130",0.21,0.3,15236.1638406117,0.815560616632687
"131",0.21,0.4,17105.8158279861,0.980884685383731
"132",0.21,0.5,16210.4292730055,0.992028704195127
"133",0.21,0.6,13838.5377178567,0.976167305401993
"134",0.21,0.7,10775.6951458926,0.967158327703412
"135",0.21,0.8,7279.5991777867,0.963216660663728
"136",0.22,0,97.4906249464493,0.0040760123671429
"137",0.22,0.1,5072.50809575455,0.231374053812291
"138",0.22,0.2,10060.7859252446,0.498673888085438
"139",0.22,0.3,14875.8241433697,0.7962723713267
"140",0.22,0.4,16999.7766408545,0.974804167754296
"141",0.22,0.5,16258.4490836536,0.994967369774591
"142",0.22,0.6,13939.2555084548,0.983271915459696
"143",0.22,0.7,10880.8026102338,0.976592109753207
"144",0.22,0.8,7358.53889334675,0.973661748004184
"145",0.23,0,41.7340386891929,0.00174486990848002
"146",0.23,0.1,4916.26989525209,0.22424750711622
"147",0.23,0.2,9798.78588051259,0.485687568531889
"148",0.23,0.3,14565.5053381488,0.779661641829024
"149",0.23,0.4,16891.7426957702,0.968609266365179
"150",0.23,0.5,16294.9004159107,0.997198079849951
"151",0.23,0.6,14028.193820967,0.989545603810454
"152",0.23,0.7,10976.1454781045,0.985149483305429
"153",0.23,0.8,7430.74299978042,0.983215597960301
"154",0.24,0,17.5905584933679,0.000735448500851256
"155",0.24,0.1,4807.23121919022,0.21927388853809
"156",0.24,0.2,9600.34336717579,0.475851547725721
"157",0.24,0.3,14300.2305436422,0.765462025885787
"158",0.24,0.4,16784.2787457417,0.962447049732322
"159",0.24,0.5,16321.764405647,0.998842073878659
"160",0.24,0.6,14106.820978888,0.995091945659862
"161",0.24,0.7,11062.7737392127,0.992924688803628
"162",0.24,0.8,7496.89436580995,0.991968565854432
"163",0.25,0,7.44043325073829,0.000311079121336734
"164",0.25,0.1,4726.39922161722,0.215586870872832
"165",0.25,0.2,9445.47609470737,0.46817538152232
"166",0.25,0.3,14073.8698680279,0.753345402953884
"167",0.25,0.4,16679.171296392,0.956419959973868
"168",0.25,0.5,16340.6857124741,1
"169",0.25,0.6,14176.3995180702,1
"170",0.25,0.7,11141.6040551295,1
"171",0.25,0.8,7557.59267366754,1
"172",0.02,0,9600.07421642882,0.401372144789792
"173",0.02,0.1,8635.90595953033,0.393912544342825
"174",0.02,0.2,7671.73613751123,0.380258015276801
"175",0.02,0.3,6707.51021501958,0.359039271581618
"176",0.02,0.4,5743.07322087278,0.329320309889876
"177",0.02,0.5,4778.61736693361,0.292436771076609
"178",0.02,0.6,3814.93972173197,0.269104980913467
"179",0.02,0.7,2853.13354793641,0.256079244408515
"180",0.02,0.8,1895.7522671085,0.250840756966667
"181",0.03,0,13332.9013623354,0.557438942181638
"182",0.03,0.1,11995.9048600148,0.547173328107881
"183",0.03,0.2,10658.8999182243,0.528320064101278
"184",0.03,0.3,9321.6281239503,0.49896764437027
"185",0.03,0.4,7983.25792363687,0.457777373234215
"186",0.03,0.5,6643.56906781826,0.406566112629332
"187",0.03,0.6,5303.37970804001,0.374099199255775
"188",0.03,0.7,3964.75240338768,0.355851130929603
"189",0.03,0.8,2632.35281400332,0.34830572745407
"190",0.04,0,16451.7002835511,0.687833664550993
"191",0.04,0.1,14810.1365113361,0.675539842905174
"192",0.04,0.2,13168.5433557038,0.652713293415079
"193",0.04,0.3,11526.0970829785,0.616968348640753
"194",0.04,0.4,9880.13593444149,0.566548484156345
"195",0.04,0.5,8228.98571576846,0.503588763688579
"196",0.04,0.6,6572.65188747277,0.463633370313444
"197",0.04,0.7,4914.6659490688,0.441109370316039
"198",0.04,0.8,3262.09296569561,0.43163122260631
"199",0.05,0,19006.1901681707,0.794635035115293
"200",0.05,0.1,17127.8834188076,0.78126002857455
"201",0.05,0.2,15249.4923221973,0.755857811123665
"202",0.05,0.3,13368.8427414911,0.715606746158367
"203",0.05,0.4,11479.2530260281,0.658245336329068
"204",0.05,0.5,9576.04806110291,0.586024860253739
"205",0.05,0.6,7657.63825635764,0.540168062179448
"206",0.05,0.7,5730.22421381626,0.514308728389797
"207",0.05,0.8,3803.79654457567,0.503307959137439
"208",0.06,0,21028.8481950407,0.879200901182431
"209",0.06,0.1,18984.1701441146,0.86593147247657
"210",0.06,0.2,16939.2712647941,0.839613557600216
"211",0.06,0.3,14888.9711450354,0.79697610337484
"212",0.06,0.4,12818.7607407496,0.735055622171972
"213",0.06,0.5,10719.2266234699,0.655983892725327
"214",0.06,0.6,8587.10934544433,0.60573274155392
"215",0.06,0.7,6433.56738055843,0.577436368114021
"216",0.06,0.8,4272.45582450798,0.565319673736088
"217",0.07,0,22533.55150714,0.942111456042106
"218",0.07,0.1,20399.6251947707,0.930495109808856
"219",0.07,0.2,18265.1423184911,0.905331810464338
"220",0.07,0.3,16118.4502835858,0.862787601259923
"221",0.07,0.4,13931.0279081679,0.798835440775584
"222",0.07,0.5,11687.6538815973,0.715248679721881
"223",0.07,0.6,9384.95380527263,0.662012508416536
"224",0.07,0.7,7042.72959161857,0.632110920184438
"225",0.07,0.8,4680.10407153787,0.619258575266232
"226",0.08,0,23510.8974719874,0.982973582445372
"227",0.08,0.1,21378.2599769663,0.9751339142196
"228",0.08,0.2,19244.2257643423,0.953861155222346
"229",0.08,0.3,17083.387970149,0.914438737523498
"230",0.08,0.4,14843.8767216937,0.851180177224415
"231",0.08,0.5,12506.151262553,0.765338216682431
"232",0.08,0.6,10071.1139172586,0.710414086765915
"233",0.08,0.7,7572.48128235469,0.679658085575962
"234",0.08,0.8,5036.4691877246,0.666411833132111
