"","h","MPASize","mpa_yield","mpa_prop_msy"
"1",0,1,0,0
"2",0,2,0,0
"3",0,5,0,0
"4",0,10,0,0
"5",0,15,0,0
"6",0,20,0,0
"7",0.09,1,18800.3206699336,0.91620125096567
"8",0.09,2,18486.1595234821,0.940800073832402
"9",0.09,5,17706.5452669353,0.989533893684308
"10",0.09,10,17242.3214934021,1
"11",0.09,15,17076.7625219228,1
"12",0.09,20,15681.5351756939,1
"13",0.1,1,19523.0986345213,0.95142459034119
"14",0.1,2,19091.8003083916,0.97162242470712
"15",0.1,5,17893.8239305871,1
"16",0.1,10,17131.8367008485,0.993592232194726
"17",0.1,15,16859.0330475697,0.987249955951921
"18",0.1,20,15499.9746469144,0.988422018205149
"19",0.11,1,20042.117650143,0.976718088241364
"20",0.11,2,19473.6730995104,0.991056745265849
"21",0.11,5,17692.3483005583,0.988740493322704
"22",0.11,10,16482.291518174,0.955920670223036
"23",0.11,15,16047.6875085465,0.939738283995272
"24",0.11,20,14783.4271735986,0.94272831122508
"25",0.12,1,20370.2822619652,0.992710625451381
"26",0.12,2,19649.4027133498,1
"27",0.12,5,17099.7676171821,0.955624000968979
"28",0.12,10,15259.732292624,0.885016109835514
"29",0.12,15,14595.7384578901,0.854713441095898
"30",0.12,20,13491.0004982909,0.860311209785233
"31",0.13,1,20519.8592013689,1
"32",0.13,2,19639.9967026775,0.999521308061649
"33",0.13,5,16139.5760104592,0.901963497185794
"34",0.13,10,13478.3996532482,0.781704462383781
"35",0.13,15,12517.0634380901,0.732988083778816
"36",0.13,20,11635.4438428154,0.741983722413232
"37",0.14,1,20503.2698147449,0.999191544812213
"38",0.14,2,19470.2589104044,0.990882989902604
"39",0.14,5,14885.1496551209,0.831859624463876
"40",0.14,10,11405.0710193881,0.661457972683802
"41",0.14,15,10166.4544676422,0.595338516571318
"42",0.14,20,9527.21416696206,0.607543461798885
"43",0.15,1,20333.8959117156,0.990937399334548
"44",0.15,2,19167.9187352952,0.975496253749867
"45",0.15,5,13520.2807669897,0.755583648270876
"46",0.15,10,9484.79758586136,0.550088199520626
"47",0.15,15,8060.71280548474,0.472028160790815
"48",0.15,20,7628.09194859295,0.486437830424687
"49",0.16,1,20026.66807234,0.975965179673552
"50",0.16,2,18762.0210750846,0.954839256377889
"51",0.16,5,12251.2810333062,0.684665339327737
"52",0.16,10,7895.52392215629,0.457915363959405
"53",0.16,15,6360.55422840949,0.372468389148349
"54",0.16,20,6088.27288601005,0.388244697843535
"55",0.17,1,19598.1412521878,0.955081663078877
"56",0.17,2,18281.2972554595,0.930374196211022
"57",0.17,5,11175.1154860332,0.62452360822277
"58",0.17,10,6673.38261687591,0.387035041622993
"59",0.17,15,5089.55980902033,0.298040088247784
"60",0.17,20,4931.46477723215,0.314475892951848
"61",0.18,1,19065.9060679909,0.929144097963352
"62",0.18,2,17752.8667157678,0.903481239341006
"63",0.18,5,10305.9724013614,0.575951369664743
"64",0.18,10,5793.12224413149,0.335982729839962
"65",0.18,15,4207.33238213312,0.246377636084816
"66",0.18,20,4123.17034161936,0.262931549457619
"67",0.01,1,3496.66566783501,0.170403979555656
"68",0.01,2,3496.8611902897,0.17796272188538
"69",0.01,5,3497.1710331325,0.195440116472508
"70",0.01,10,3497.33061852433,0.202834091677423
"71",0.01,15,3497.38398372685,0.20480369035038
"72",0.01,20,3205.92635185197,0.204439572779909
"73",0.19,1,18447.5756424541,0.899010829529641
"74",0.19,2,17201.2458890732,0.875408079319718
"75",0.19,5,9632.90390152787,0.538336799271938
"76",0.19,10,5202.15187864561,0.301708321622251
"77",0.19,15,3643.61837419672,0.213367045979536
"78",0.19,20,3601.94533192345,0.229693412766526
"79",0.2,1,17759.9153699811,0.865498890401564
"80",0.2,2,16647.4323819589,0.847223329116698
"81",0.2,5,9131.20369576189,0.510299180945517
"82",0.2,10,4821.93024167492,0.279656671726024
"83",0.2,15,3301.62431914766,0.193340178790277
"84",0.2,20,3282.11679084496,0.209298181209464
"85",0.21,1,17018.5618844733,0.829370305003748
"86",0.21,2,16108.0341845346,0.819772204759731
"87",0.21,5,8764.36403863525,0.489798271886075
"88",0.21,10,4578.23401162613,0.265523062737116
"89",0.21,15,3095.73179422878,0.181283295955808
"90",0.21,20,3087.10904874214,0.196862680480869
"91",0.22,1,16238.3253738723,0.791346822340234
"92",0.22,2,15594.7859201077,0.793651906249171
"93",0.22,5,8495.55413561808,0.47477577562927
"94",0.22,10,4418.09475544801,0.256235493413032
"95",0.22,15,2968.47859694596,0.173831462089789
"96",0.22,20,2965.00171154723,0.189075985120572
"97",0.23,1,15433.7165886266,0.752135598844509
"98",0.23,2,15114.7538801863,0.769222052226419
"99",0.23,5,8295.05476858682,0.463570827608711
"100",0.23,10,4308.3504973257,0.249870674257774
"101",0.23,15,2886.02858113566,0.169003262616707
"102",0.23,20,2884.89253781141,0.183967481849796
"103",0.24,1,14619.2587721663,0.712444399774002
"104",0.24,2,14671.1431643908,0.746645757044983
"105",0.24,5,8141.38671066425,0.454983056849444
"106",0.24,10,4229.16893113971,0.245278394371549
"107",0.24,15,2829.23275910131,0.16567734987643
"108",0.24,20,2829.115254832,0.180410605411712
"109",0.25,1,13809.2719445576,0.672971086645486
"110",0.25,2,14264.3620740309,0.725943800029082
"111",0.25,5,8019.86259482637,0.448191656849685
"112",0.25,10,4168.87764503721,0.241781690860622
"113",0.25,15,2787.38134782274,0.163226568516389
"114",0.25,20,2787.69254383571,0.177769109503806
"115",0.02,1,6562.96996601107,0.319835038905786
"116",0.02,2,6561.56047630194,0.333931803018319
"117",0.02,5,6559.34469682607,0.366570316231499
"118",0.02,10,6558.27811241701,0.380359345168606
"119",0.02,15,6557.8897334574,0.384024180522421
"120",0.02,20,6011.46418568685,0.38334666334228
"121",0.03,1,9239.15016349776,0.450254072059198
"122",0.03,2,9231.15521329828,0.469793171220753
"123",0.03,5,9218.02040144882,0.515150950250038
"124",0.03,10,9211.51880506746,0.534238896345386
"125",0.03,15,9209.19508270229,0.53928225978898
"126",0.03,20,8442.15270049976,0.538349887680955
"127",0.04,1,11560.3942264224,0.563375903946319
"128",0.04,2,11537.7775378915,0.58718209943617
"129",0.04,5,11498.9233427959,0.642619676342072
"130",0.04,10,11479.3509814665,0.665765975066592
"131",0.04,15,11472.3836168083,0.671812564125096
"132",0.04,20,10517.5228072558,0.670694717667552
"133",0.05,1,13557.5660384704,0.660704632786465
"134",0.05,2,13509.3435868468,0.687519299386569
"135",0.05,5,13422.1154107664,0.750097657316449
"136",0.05,10,13377.3327907969,0.775842904675906
"137",0.05,15,13361.4142488598,0.782432515045325
"138",0.05,20,12250.6391992498,0.78121427921407
"139",0.06,1,15257.7731502562,0.74356129837569
"140",0.06,2,15170.1212368959,0.77203981506213
"141",0.06,5,15001.6602923728,0.838370845190304
"142",0.06,10,14913.1279236294,0.864914154937664
"143",0.06,15,14881.6730551978,0.871457516381868
"144",0.06,20,13646.822227332,0.870247847193196
"145",0.07,1,16684.8182557892,0.813105884014844
"146",0.07,2,16541.2192768921,0.841817917735179
"147",0.07,5,16244.7309328976,0.90784010147375
"148",0.07,10,16084.115186267,0.932827704924868
"149",0.07,15,16027.0382441092,0.938529081465765
"150",0.07,20,14701.0488851662,0.937475108173884
"151",0.08,1,17859.5737366717,0.870355569276044
"152",0.08,2,17641.0875436375,0.897792558938809
"153",0.08,5,17150.1023236843,0.958436966308162
"154",0.08,10,16873.1116371013,0.978586998482653
"155",0.08,15,16774.5729702124,0.982304049065363
"156",0.08,20,15393.2607657659,0.981616952250005
