"","t","meanAbun","meanSSB","meanCatch","cumCatch","meanSizeExt","meanSizeSSBExt","meanFecExt","totalFecExt","meanSizeSurv","meanSizeSSBSurv","meanFecSurv","totalFecSurv","name","isAllee","resDens","fishDens","resDensExt","fishDensExt","resDensExtSD","fishDensExtSD","resDensExtQ025","fishDensExtQ025","resDensExtQ975","fishDensExtQ975","catchExt","resDensSurv","fishDensSurv","resDensSurvSD","fishDensSurvSD","resDensSurvQ025","fishDensSurvQ025","resDensSurvQ975","fishDensSurvQ975","catchSurv","cumCatchSurv","cumCatchExt","propExtinct","ssbDensity","catchHa"
"1",-74,40344814.1809491,1285307.93626493,26210.6229669995,0,-1,-1,-1,-1,17.9164576336845,164.832577885363,50837.8809258224,410208971861.104,"Growth_1_NC",TRUE,NA,0.17137439150199,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.17137439150199,NA,0,NA,0.17137439150199,NA,0.17137439150199,26210.6229669995,0,0,0,0.17137439150199,34.9474972893326
"2",-73,26681541.0960184,1285307.90586908,26210.6215895854,0,-1,-1,-1,-1,22.8745947845977,164.832576827587,76871.3001200702,410208950651.603,"Growth_1_NC",TRUE,NA,0.17137438744921,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.17137438744921,NA,0,NA,0.17137438744921,NA,0.17137438744921,26210.6215895854,0,0,0,0.17137438744921,34.9474954527805
"3",-72,32255331.4979887,1281347.40165142,26210.6203745605,0,-1,-1,-1,-1,19.7322986948203,165.190919501445,63585.280809902,410192862183.218,"Growth_1_NC",TRUE,NA,0.170846320220189,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.170846320220189,NA,0.000441447876546292,NA,0.170350262016433,NA,0.171376672562185,26210.6203745605,0,0,0,0.170846320220189,34.9474938327474
"4",-71,35920390.1674347,1248600.11527638,26210.6193027804,0,-1,-1,-1,-1,18.2803654860143,167.621699701118,57020.1034072979,409636872355.522,"Growth_1_NC",TRUE,NA,0.166480015370184,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.166480015370184,NA,0.00385051224035274,NA,0.162254234893467,NA,0.171378169563353,26210.6193027804,0,0,0,0.166480015370184,34.9474924037071
"5",-70,34267992.6486529,1214128.6847024,26210.5602657489,0,-1,-1,-1,-1,18.6365349197134,168.711969493319,59329.1391435291,406618100804.273,"Growth_1_NC",TRUE,NA,0.161883824626987,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.161883824626987,NA,0.00603199796592516,NA,0.155215946588481,NA,0.171262198329343,26210.5602657489,0,0,0,0.161883824626987,34.9474136876651
"6",-69,29658631.1876051,1183094.35844367,26180.688433023,0,-1,-1,-1,-1,20.0664048793259,168.686348671171,67528.8834900369,400562849988.352,"Growth_1_NC",TRUE,NA,0.157745914459156,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.157745914459156,NA,0.00843046100002446,NA,0.147033912882043,NA,0.170912395237643,26180.688433023,0,0,0,0.157745914459156,34.9075845773641
"7",-68,34330508.390155,1158097.99340649,25714.0409829596,0,-1,-1,-1,-1,18.1410904141541,168.536394977742,57318.41740132,393554081901.284,"Growth_1_NC",TRUE,NA,0.154413065787533,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.154413065787533,NA,0.00950734055954726,NA,0.14094433990387,NA,0.168317481948209,25714.0409829596,0,0,0,0.154413065787533,34.2853879772795
"8",-67,35586396.5290909,1132365.32143219,24877.3291856503,0,-1,-1,-1,-1,17.7190691645439,168.920118681217,54362.8044554859,386915263157.271,"Growth_1_NC",TRUE,NA,0.150982042857626,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.150982042857626,NA,0.0111853754351117,NA,0.132556758438664,NA,0.164185204670853,24877.3291856503,0,0,0,0.150982042857626,33.1697722475338
"9",-66,35628722.9713038,1116691.79579281,24390.9053513059,0,-1,-1,-1,-1,17.7050827630801,168.304160743457,53400.5569267651,380518729851.41,"Growth_1_NC",TRUE,NA,0.148892239439042,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.148892239439042,NA,0.0111129831305455,NA,0.130151061258513,NA,0.160402837002633,24390.9053513059,0,0,0,0.148892239439042,32.5212071350746
"10",-65,37023066.4629824,1108124.27245407,24106.9838296259,0,-1,-1,-1,-1,17.3673780675113,167.368559551902,50559.4376924295,374373084403.567,"Growth_1_NC",TRUE,NA,0.147749902993876,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.147749902993876,NA,0.0114559808571943,NA,0.128063138122544,NA,0.159062187945706,24106.9838296259,0,0,0,0.147749902993876,32.1426451061678
"11",-64,38137819.9681662,1107306.77637017,23680.920659934,0,-1,-1,-1,-1,17.1793846006065,166.386676384526,48414.6020246292,369285475169.145,"Growth_1_NC",TRUE,NA,0.147640903516023,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.147640903516023,NA,0.0103527586710614,NA,0.130877878178612,NA,0.1581970761532,23680.920659934,0,0,0,0.147640903516023,31.5745608799119
"12",-63,31168617.8811971,1114650.21277125,23251.808342992,0,-1,-1,-1,-1,19.3250352332841,165.354620558316,58714.6331069968,366010792669.333,"Growth_1_NC",TRUE,NA,0.1486200283695,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.1486200283695,NA,0.00899827380322405,NA,0.135034647893584,NA,0.158529341450967,23251.808342992,0,0,0,0.1486200283695,31.0024111239893
"13",-62,33592874.0123856,1125681.6285577,23094.6414943348,0,-1,-1,-1,-1,18.3518919272553,164.652928188517,54258.0457457697,364536738979.18,"Growth_1_NC",TRUE,NA,0.150090883807693,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.150090883807693,NA,0.00763136719664044,NA,0.139439468782973,NA,0.159439391190361,23094.6414943348,0,0,0,0.150090883807693,30.7928553257797
"14",-61,33766653.5112593,1123607.18564086,23063.6963478148,0,-1,-1,-1,-1,18.2427456142731,165.427899113267,53925.5319032404,364176950237.416,"Growth_1_NC",TRUE,NA,0.149814291418782,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.149814291418782,NA,0.00755459171232972,NA,0.140015901709383,NA,0.160393228855799,23063.6963478148,0,0,0,0.149814291418782,30.7515951304197
"15",-60,34818828.2896346,1118547.00988317,23108.234569076,0,-1,-1,-1,-1,17.8807442050865,165.789553157124,52204.7082507144,363541354498.419,"Growth_1_NC",TRUE,NA,0.149139601317757,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.149139601317757,NA,0.00821972448330357,NA,0.138904565979654,NA,0.161224332834329,23108.234569076,0,0,0,0.149139601317757,30.8109794254346
"16",-59,32851427.7391093,1109806.13613735,23240.431553372,0,-1,-1,-1,-1,18.4504429509249,165.990260707816,55096.8602931536,362002104914.468,"Growth_1_NC",TRUE,NA,0.14797415148498,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.14797415148498,NA,0.00929556938785147,NA,0.134362929623464,NA,0.160710861908356,23240.431553372,0,0,0,0.14797415148498,30.9872420711627
"17",-58,31449464.8695165,1104077.50276148,23198.7269761533,0,-1,-1,-1,-1,18.811144872866,165.838814168568,57235.542895902,360005439118.475,"Growth_1_NC",TRUE,NA,0.147210333701531,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.147210333701531,NA,0.0105044861523671,NA,0.132051464961465,NA,0.160449520152726,23198.7269761533,0,0,0,0.147210333701531,30.9316359682045
"18",-57,35715509.3808496,1096403.84267838,22940.2758668057,0,-1,-1,-1,-1,17.4203303791343,166.024923861437,50117.4450115637,357994015490.943,"Growth_1_NC",TRUE,NA,0.146187179023784,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.146187179023784,NA,0.0111483836971716,NA,0.12961043715156,NA,0.158298339769837,22940.2758668057,0,0,0,0.146187179023784,30.5870344890743
"19",-56,33120593.6450019,1087119.07383729,22770.5831795662,0,-1,-1,-1,-1,18.2036168227244,166.3015630999,53747.073017289,356026993002.775,"Growth_1_NC",TRUE,NA,0.144949209844972,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.144949209844972,NA,0.0115281100341279,NA,0.128865269090421,NA,0.155189142513972,22770.5831795662,0,0,0,0.144949209844972,30.3607775727549
"20",-55,29126526.8044219,1084421.8588389,22676.7792250747,0,-1,-1,-1,-1,19.5111857501539,165.76229139713,60733.5243723329,353791325111.553,"Growth_1_NC",TRUE,NA,0.14458958117852,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.14458958117852,NA,0.0116753185792341,NA,0.128935477686079,NA,0.154684079261726,22676.7792250747,0,0,0,0.14458958117852,30.2357056334329
"21",-54,36537874.9060202,1078831.77526081,22577.186178601,0,-1,-1,-1,-1,17.0325751591927,165.816685236028,48123.744730163,351667872991.989,"Growth_1_NC",TRUE,NA,0.143844236701441,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.143844236701441,NA,0.011195307447591,NA,0.129543597507158,NA,0.155007254783426,22577.186178601,0,0,0,0.143844236701441,30.1029149048013
"22",-53,25640201.0076732,1068397.16394911,22375.1247512347,0,-1,-1,-1,-1,20.9384505084749,166.404584000582,68245.6905110917,349966644522.369,"Growth_1_NC",TRUE,NA,0.142452955193215,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.142452955193215,NA,0.0118852848967573,NA,0.128028564249239,NA,0.15620035505758,22375.1247512347,0,0,0,0.142452955193215,29.833499668313
"23",-52,32077468.2464792,1066208.47165391,22255.2155469278,0,-1,-1,-1,-1,18.0172934281371,165.844576935717,54248.2185078213,348029101322.541,"Growth_1_NC",TRUE,NA,0.142161129553855,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.142161129553855,NA,0.011466975415544,NA,0.12895562165083,NA,0.158038865260975,22255.2155469278,0,0,0,0.142161129553855,29.673620729237
"24",-51,28063634.1627049,1046784.73856546,22236.9635103536,0,-1,-1,-1,-1,19.3794334954231,167.188544120704,61630.6023987599,345915735789.184,"Growth_1_NC",TRUE,NA,0.139571298475395,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.139571298475395,NA,0.0133385092669819,NA,0.123345745412211,NA,0.158572803627948,22236.9635103536,0,0,0,0.139571298475395,29.6492846804715
"25",-50,33218366.5537301,1034895.56763048,22026.2934400699,0,-1,-1,-1,-1,17.4331778269613,167.134943489941,51648.6573998714,343136806703.391,"Growth_1_NC",TRUE,NA,0.137986075684064,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.137986075684064,NA,0.0130760937757711,NA,0.121452915036052,NA,0.155935289975276,22026.2934400699,0,0,0,0.137986075684064,29.3683912534265
"26",-49,32597271.8695687,1015811.79456519,21863.9839011606,0,-1,-1,-1,-1,17.6548339182692,167.605673341294,52064.3652369608,339431253669.147,"Growth_1_NC",TRUE,NA,0.135441572608693,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.135441572608693,NA,0.0121803041161373,NA,0.122231571785515,NA,0.15382684621154,21863.9839011606,0,0,0,0.135441572608693,29.1519785348808
"27",-48,27927883.8208956,1009724.4016625,21675.4521170506,0,-1,-1,-1,-1,19.2528495401816,166.725209776771,60072.8731163086,335541644235.934,"Growth_1_NC",TRUE,NA,0.134629920221666,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.134629920221666,NA,0.0102015826561515,NA,0.121344673853953,NA,0.149833406557337,21675.4521170506,0,0,0,0.134629920221666,28.9006028227341
"28",-47,27063092.5623594,1006456.13769553,21285.3923677803,0,-1,-1,-1,-1,19.3969462131009,166.12345366349,61336.4713360377,331990920243.139,"Growth_1_NC",TRUE,NA,0.134194151692738,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.134194151692738,NA,0.00926723990721238,NA,0.120942761971521,NA,0.147769302719448,21285.3923677803,0,0,0,0.134194151692738,28.3805231570404
"29",-46,33158373.3073507,998068.418784577,21022.6909171018,0,-1,-1,-1,-1,17.1584073774093,166.604697354403,49682.1169408018,329475636044.511,"Growth_1_NC",TRUE,NA,0.133075789171277,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.133075789171277,NA,0.00938975667764958,NA,0.116637997702266,NA,0.144308805986847,21022.6909171018,0,0,0,0.133075789171277,28.0302545561357
"30",-45,36929243.3365443,985868.791418786,20832.715374631,0,-1,-1,-1,-1,16.3276734548507,167.134544061227,44297.2177763276,327172546878.779,"Growth_1_NC",TRUE,NA,0.131449172189172,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.131449172189172,NA,0.00908794805611331,NA,0.116445153715111,NA,0.140833089401868,20832.715374631,0,0,0,0.131449172189172,27.7769538328413
"31",-44,38411080.7389044,983327.962053673,20839.9508417254,0,-1,-1,-1,-1,16.2317790171782,166.103630008614,42196.038835059,324159090911.079,"Growth_1_NC",TRUE,NA,0.13111039494049,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.13111039494049,NA,0.0091287592809463,NA,0.118136193337198,NA,0.141151981221932,20839.9508417254,0,0,0,0.13111039494049,27.7866011223005
"32",-43,29777269.1959278,995965.718729648,20709.9864838378,0,-1,-1,-1,-1,18.8942422609232,164.174500723223,53994.7675558073,321563345736.165,"Growth_1_NC",TRUE,NA,0.132795429163953,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.132795429163953,NA,0.00933138037177249,NA,0.120367662848409,NA,0.144698831421789,20709.9864838378,0,0,0,0.132795429163953,27.6133153117837
"33",-42,30092988.750774,1020316.81313357,20370.964277443,0,-1,-1,-1,-1,18.6861956268546,162.591882648568,53348.767056742,321084769381.24,"Growth_1_NC",TRUE,NA,0.136042241751143,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.136042241751143,NA,0.00933447364257151,NA,0.121696797137588,NA,0.148007122630831,20370.964277443,0,0,0,0.136042241751143,27.1612857032573
"34",-41,27739087.3794053,1032156.226277,20205.8892485035,0,-1,-1,-1,-1,19.4891306991024,163.346369336139,58264.6654514509,323241729217.922,"Growth_1_NC",TRUE,NA,0.137620830170267,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.137620830170267,NA,0.0101838349482825,NA,0.119410564397707,NA,0.148097147712704,20205.8892485035,0,0,0,0.137620830170267,26.9411856646713
"35",-40,32650598.140094,1033956.63556755,20456.7384880812,0,-1,-1,-1,-1,17.6003948681153,164.420015320611,49925.4322708505,326019045209.204,"Growth_1_NC",TRUE,NA,0.13786088474234,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.13786088474234,NA,0.00822192794942674,NA,0.121994080642545,NA,0.144116810188169,20456.7384880812,0,0,0,0.13786088474234,27.2756513174415
"36",-39,28863237.1369658,1020947.44871238,20934.5223487762,0,-1,-1,-1,-1,18.8618850415606,165.747756701495,56683.4164184914,327213377964.06,"Growth_1_NC",TRUE,NA,0.136126326494984,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.136126326494984,NA,0.00554587059471163,NA,0.125685904566048,NA,0.141961173592716,20934.5223487762,0,0,0,0.136126326494984,27.912696465035
"37",-38,29721535.6609314,1011704.92648354,21177.4324303292,0,-1,-1,-1,-1,18.3929432697802,165.779351553251,54930.8176273893,326525650999.314,"Growth_1_NC",TRUE,NA,0.134893990197806,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.134893990197806,NA,0.00347933808008239,NA,0.131822811864739,NA,0.141646826307027,21177.4324303292,0,0,0,0.134893990197806,28.2365765737723
"38",-37,30732368.967636,998523.469185912,21023.2906690969,0,-1,-1,-1,-1,17.9697789636417,166.269163968003,52866.6838206716,324943686654.447,"Growth_1_NC",TRUE,NA,0.133136462558122,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.133136462558122,NA,0.00397819523250284,NA,0.12751103078805,NA,0.137825609621211,21023.2906690969,0,0,0,0.133136462558122,28.0310542254625
"39",-36,34683824.0876756,989591.463194434,20758.0233156521,0,-1,-1,-1,-1,16.8340215596858,166.327466441151,46586.9536827896,323162741262.913,"Growth_1_NC",TRUE,NA,0.131945528425925,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.131945528425925,NA,0.00326845680330598,NA,0.127044504815406,NA,0.137308474720027,20758.0233156521,0,0,0,0.131945528425925,27.6773644208694
"40",-35,34787397.2081048,984343.191890935,20566.0638117892,0,-1,-1,-1,-1,16.9577977678663,165.955431608371,46142.0379020779,321032280098.202,"Growth_1_NC",TRUE,NA,0.131245758918791,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.131245758918791,NA,0.0040161865607672,NA,0.125703333199058,NA,0.135351143954633,20566.0638117892,0,0,0,0.131245758918791,27.4214184157189
"41",-34,34065834.2782072,990404.104229529,20471.9255133638,0,-1,-1,-1,-1,17.2947509436177,164.690818241608,46822.6086907639,319010245626.582,"Growth_1_NC",TRUE,NA,0.132053880563937,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.132053880563937,NA,0.00634111119994758,NA,0.125166290612826,NA,0.140256957720679,20471.9255133638,0,0,0,0.132053880563937,27.2959006844851
"42",-33,32971204.2884948,1003281.92503283,20290.0567962201,0,-1,-1,-1,-1,17.715295300511,163.644266549164,48260.3905682809,318240639293.867,"Growth_1_NC",TRUE,NA,0.133770923337711,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.133770923337711,NA,0.00817049716397634,NA,0.125223259598323,NA,0.144975132546317,20290.0567962201,0,0,0,0.133770923337711,27.0534090616268
"43",-32,36258515.7398949,1018805.42981627,20182.3689734472,0,-1,-1,-1,-1,16.9090856880676,163.162175726677,44035.6983637775,319333812448.058,"Growth_1_NC",TRUE,NA,0.135840723975503,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.135840723975503,NA,0.00905100700812897,NA,0.125679724801536,NA,0.148898052065101,20182.3689734472,0,0,0,0.135840723975503,26.9098252979296
"44",-31,32989730.5979901,1032012.13997254,20272.5178326712,0,-1,-1,-1,-1,17.9571664955009,163.16384196472,48760.1794340962,321717036688.098,"Growth_1_NC",TRUE,NA,0.137601618663005,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.137601618663005,NA,0.0100188066039694,NA,0.123905594309984,NA,0.152449884735685,20272.5178326712,0,0,0,0.137601618663005,27.0300237768949
"45",-30,37418063.2876249,1047157.87734739,20544.3468340812,0,-1,-1,-1,-1,16.8220815233649,162.815429814143,43343.6872053615,324367366193.847,"Growth_1_NC",TRUE,NA,0.139621050312985,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.139621050312985,NA,0.00973378232074215,NA,0.125608185557622,NA,0.154898907833393,20544.3468340812,0,0,0,0.139621050312985,27.3924624454416
"46",-29,28979769.8770414,1056162.1172761,20800.0259317467,0,-1,-1,-1,-1,19.5562349212342,163.090212967048,56435.4955479184,327097534775.093,"Growth_1_NC",TRUE,NA,0.140821615636813,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.140821615636813,NA,0.00835109320155508,NA,0.126857798042958,NA,0.15193690270893,20800.0259317467,0,0,0,0.140821615636813,27.7333679089956
"47",-28,32698281.7426467,1069510.54296075,20968.1907803058,0,-1,-1,-1,-1,18.0707506737711,162.8296224105,50450.0438581691,329925949600.66,"Growth_1_NC",TRUE,NA,0.142601405728099,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.142601405728099,NA,0.00765830148783147,NA,0.128705534333217,NA,0.150438037382713,20968.1907803058,0,0,0,0.142601405728099,27.9575877070744
"48",-27,30458188.4643485,1066150.49178453,21161.8067653649,0,-1,-1,-1,-1,18.7762192356483,164.17897344239,54625.8316984175,332760775378.437,"Growth_1_NC",TRUE,NA,0.142153398904604,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.142153398904604,NA,0.00815732594163511,NA,0.128695683717492,NA,0.151295902891132,21161.8067653649,0,0,0,0.142153398904604,28.2157423538199
"49",-26,30596921.7657967,1062597.62517965,21369.8571969029,0,-1,-1,-1,-1,18.5860173018484,164.74446015342,54704.6492420439,334758774616.833,"Growth_1_NC",TRUE,NA,0.141679683357287,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.141679683357287,NA,0.00788365269781517,NA,0.131323109414967,NA,0.154330277963404,21369.857196903,0,0,0,0.141679683357287,28.4931429292039
"50",-25,36462119.8184231,1050210.27150198,21558.2024854406,0,-1,-1,-1,-1,16.8216781728944,165.574949320756,45967.3443343152,335213363370.503,"Growth_1_NC",TRUE,NA,0.140028036200264,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.140028036200264,NA,0.00825270543664134,NA,0.133614874820047,NA,0.154427467804434,21558.2024854406,0,0,0,0.140028036200264,28.7442699805875
"51",-24,33388995.1060163,1039328.9590072,21622.8151265054,0,-1,-1,-1,-1,17.7675764996626,165.862177556668,50098.2286142915,334545902004.533,"Growth_1_NC",TRUE,NA,0.138577194534293,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.138577194534293,NA,0.00937131082184188,NA,0.130714066761852,NA,0.155299870976151,21622.8151265054,0,0,0,0.138577194534293,28.8304201686739
