"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",133117567.942149,126935116.900644,130244563.302382,130084409.344089,131713182.96663,130968317.074998,131395699.183696,127676298.43957,131382103.635452,127399561.070027,130560710.847161,130706709.892389,128715145.695913,133764560.684196,137638634.762647,125571422.88645,128812091.813671,134275232.716505,132102503.684282,129321281.315573
"12.5",22913839.8371945,21849633.0837962,22419285.9691366,22391729.7557441,22672091.4364808,22543872.8503988,22617440.8653329,21977213.9913506,22615099.9300235,21929581.6252868,22473712.5088444,22498836.0820738,22156038.0133886,23025196.6555318,23692050.0870199,21614886.2889844,22172715.230207,23113102.9746734,22739095.6298618,22260366.6743845
"17.5",162357.744376866,154386.046169819,157805.818906682,158324.361508446,160127.140197584,159027.51672654,159656.387061452,155264.330843023,159596.112879348,155119.087709167,158647.226399268,158352.92813246,156830.409264576,162426.805521906,167149.049936083,152041.613309557,156304.368146526,163245.307215146,159948.324768975,157140.769393494
"22.5",1175851.25100376,1118103.29622246,1142850.28542173,1146629.15568599,1159679.4807843,1151709.36520374,1156267.38025793,1124463.29961995,1155829.41221224,1123417.71873436,1148958.98353067,1146812.10569164,1135815.19151861,1176327.82432174,1210527.86240238,1101101.78832272,1131984.28796112,1182262.11547173,1158363.01475619,1138048.85945153
"27.5",2442094.1062347,2322158.59603994,2373555.40871024,2381403.87499593,2408507.67590692,2391954.89522892,2401421.02679539,2335367.5999396,2400511.1350552,2333196.62290699,2386242.19929144,2381783.83304222,2358944.23676903,2443084.1182797,2514113.06300019,2286849.10085204,2350987.48213504,2455409.03187557,2405773.55869524,2363582.96055582
"32.5",2533499.29879782,2409070.62406034,2462396.88646683,2470542.04838502,2498659.41407864,2481488.85263689,2491305.63476221,2422775.07384553,2490358.03885494,2420529.968161,2475555.97383963,2470936.15252572,2447236.63800925,2534529.27871599,2608214.20078824,2372445.65784704,2438976.32138026,2547317.31001924,2495823.16416502,2452044.90570968
"37.5",1744677.85786212,1658965.37713287,1695723.73122294,1701351.10491985,1720708.32265406,1708894.96104227,1715632.47035006,1668409.36369918,1714957.22050784,1666907.63750369,1704769.74145591,1701622.03336235,1685270.07107029,1745405.26769518,1796131.94418095,1633781.96144395,1679545.89477425,1754222.91211031,1718756.41804029,1688555.87656935
"42.5",948559.745377337,901862.770284157,921982.066096945,925110.510690739,935613.568047751,929232.429419224,932809.66414419,907021.9004468,932356.896854964,906372.80733993,926840.231621336,925256.042451477,916247.017642433,949023.615204072,976542.825480196,888314.759201006,912999.892371327,953860.112171057,934557.096809337,917937.697861798
"47.5",492290.950232336,467815.396784401,478592.649531092,480388.530369895,485786.443259773,482578.795747502,484220.716176813,470554.287586022,483771.647295531,470635.86858213,480963.915002827,480459.642933859,475487.449780896,492702.662807852,506834.178159882,461143.927921668,473464.849933268,495318.863959188,485250.019632896,476125.439503949
"52.5",378275.628902257,359110.997893074,367891.572251352,369527.71363662,373596.586652934,371286.633569517,372229.185200699,361306.785421357,371565.659301558,361992.205003705,369490.547789323,369575.815171063,365314.083146218,378846.42396533,389481.051184614,354520.224453685,363258.023511019,381014.529968085,373201.969344511,365447.854921508
"57.5",456943.404999153,433600.49513916,444476.519005539,446590.558921053,451463.314943099,448756.124561652,449723.698092465,436301.771421429,448750.826435271,437466.03644492,446288.525846403,446645.272599009,441260.45560423,457770.319186631,470496.225942806,428344.909813198,438506.604176352,460474.086224052,450995.680534196,441229.052595173
"62.5",555284.647395747,526880.647136256,540150.785753425,542744.929433611,548658.955259025,545384.254801409,546530.512896302,530171.558870829,545315.99978093,531654.330627814,542332.321391687,542811.263370261,536225.035240864,556317.315140362,571760.092294333,520555.062697124,532827.080572665,559618.38481079,548090.859530263,536146.043195695
"67.5",587760.103110332,557685.222931088,571748.811144353,574496.84907206,580757.01397606,577291.91729913,578507.653401056,561167.400657756,577216.379769274,562762.406894819,574060.289639251,574568.444225152,567595.496740256,588863.676074915,605207.808449107,551019.45667369,563988.058421846,592358.942789444,580151.291870434,567491.554578173
"72.5",546276.12737999,518308.860470923,531410.234440658,533963.439894046,539784.331848535,536562.79718124,537706.409680146,521540.104485376,536499.973940857,523069.963915317,533569.761957106,534033.534499275,527559.687890173,547321.373038373,562512.95591559,512173.482044822,524192.679717015,550568.914989586,539210.149780556,527421.921932527
"77.5",462977.571549395,439243.808799938,450410.078893668,452572.12560401,457510.809239985,454778.416871526,455775.801114495,441971.624284449,454740.427198139,443366.203673404,452263.497577455,452638.913524778,447166.636467357,463903.742429404,476781.002096643,434167.633298463,444283.801505826,466654.00403411,457001.00676878,446964.899312624
"82.5",380392.649339722,360839.217603326,370120.96952192,371894.110279496,375961.430145445,373712.771791695,374580.239953073,363061.821153996,373707.796351579,364376.363843163,371683.917162785,371961.854101861,367490.680702624,381222.565796187,391806.735849104,356880.789993548,365071.964329255,383478.84727514,375502.639999742,367178.900673345
"87.5",328421.384955393,311466.332451711,319627.006499679,321153.085161202,324679.121266691,322732.37503272,323546.313043561,313358.754041884,322764.434060103,314728.054486066,321032.934752258,321230.010441451,317404.963877657,329232.130630567,338376.44906444,308341.386387551,315247.90716512,331176.091873853,324227.466409796,316933.924037033
"92.5",314656.954872167,298337.720895878,306305.862292684,307761.967330284,311158.884086886,309287.416719779,310130.839495373,300120.773594909,309356.340419187,301680.761369394,307715.07355228,307856.925614155,304231.261026129,315528.622187814,324298.62116296,295646.77567715,302094.296583387,317388.861778914,310667.076267409,303569.309247884
"97.5",327411.159943799,310377.268888379,318772.192294866,320280.025496341,323838.653495841,321884.426557038,322799.376762872,312203.169590915,321986.138006588,314025.78886246,320294.839270791,320400.542420934,316663.976890032,328381.621657181,337520.508154356,307802.886321163,314390.548389627,330320.876546152,323278.667999994,315813.878159047
"102.5",346116.688252164,328086.394378461,336999.924601282,338583.028019892,342382.866902022,340307.809009951,341271.270095678,329983.231672551,340435.690431621,332055.711142845,338664.965697087,338736.747398401,334823.544408553,347160.077745563,356844.92738586,325489.392874037,332398.852538515,349224.975154987,341753.926133347,333825.000833721
"107.5",354569.588546693,336101.818448354,345211.146791654,346813.478796107,350775.489292302,348634.160200626,349567.499226804,337993.640354055,348782.531273045,340257.291171418,346993.300186487,347013.309979541,343056.914757045,355608.714252139,365575.715242059,333496.15600509,340576.711394642,357758.00357531,350092.766658064,341966.595775653
"112.5",349680.207783162,331492.975055645,340395.586574069,341941.774912494,345971.424057087,343832.449336243,344637.313380311,333272.693806632,344001.302597302,335695.429788546,342276.686321,342211.323001589,338394.69813468,350624.484701541,360535.267507302,328940.855118382,335974.910096107,352806.876035975,345243.61274556,337252.692892277
"117.5",339702.399127103,322081.317987458,330591.436051329,332041.602943182,336142.80144508,334022.640456667,334621.919500559,323680.690117388,334221.830049303,326305.004956307,332603.959652459,332414.940755021,328833.874960437,340487.391059701,350239.184365895,319601.47567538,326530.503088666,342703.43986248,335356.799014849,327638.654376433
"122.5",336081.76203574,318711.174181456,326954.559823812,328325.644082479,332611.459470616,330459.295200412,330828.938994745,320135.98455173,330710.382439984,323055.874188555,329172.34625881,328836.859826736,325444.916343175,336692.881850024,346491.068643711,316244.754638102,323228.98861296,339000.519134385,331737.896170103,324158.39552366
"127.5",342042.884236068,324431.388540141,332648.626588819,333984.395839493,338558.805576334,336309.581009569,336483.477550661,325737.021755687,336647.487749355,329000.872709659,335119.552933077,334652.137385701,331330.93334282,342507.47666132,352615.626874539,321892.670778296,329143.322145282,344956.528185055,337579.584115515,329915.877361177
"132.5",350788.211397202,332792.039584726,341082.851650327,342410.02820095,347248.810674376,344882.935654586,344935.179867811,334036.82951996,345361.077910611,337567.393688581,343771.373042106,343232.924613771,339895.818208382,351150.154408271,361601.094539699,330134.753417261,337718.665966114,353715.574842782,346180.062379818,338348.151411032
"137.5",354777.498907768,336645.530340298,344928.083999988,346243.019740713,351215.349385602,348758.367381996,348771.786468606,337870.033713872,349450.467250884,341496.559119264,347737.774184688,347216.164814032,343837.994463417,355075.720107604,365666.126404537,333866.913205616,341705.830510602,357668.756201328,350099.260559485,342178.283740445
"142.5",354544.813697041,336498.811924968,344691.085064224,345978.303047775,350986.892347631,348461.400748951,348495.721771367,337742.888846657,349438.44273342,341318.48724739,347544.088146214,347112.274148669,343684.799830088,354811.028639311,365352.893922613,333594.90568904,341627.612817637,357360.106566783,349863.146874209,341922.775117295
"147.5",355032.553925047,337024.023885842,345155.673340169,346393.677240059,351451.285487265,348865.069723775,348933.992985058,338346.165549678,350139.778984243,341805.264714649,348024.274249436,347706.32329352,344228.297164977,355301.6039432,365749.630883398,333984.100456761,342225.133100179,357803.917042961,350350.610129411,342357.330269392
"152.5",355811.572284045,337788.950214102,345880.527969169,347020.835329668,352173.739007072,349568.089251274,349632.597965488,339256.971010513,351054.162992982,342550.815822725,348737.16802475,348508.53274369,345047.684315191,356125.763610599,366408.164481127,334647.907871421,343051.21525569,358611.865359153,351141.789226541,343080.805228887
"157.5",353892.420291951,335956.258775275,343940.239692788,344928.961303049,350190.493060828,347645.454152242,347627.259639954,337625.821593484,349189.828121653,340684.841446642,346746.091841745,346554.482405115,343239.27949955,354290.578466692,364252.144895034,332785.919210468,341221.957214957,356783.130179684,349282.408541778,341222.644625446
"162.5",349231.532926077,331529.65441707,339282.622452209,340139.977912146,345473.807644446,343062.124482399,342862.656772593,333403.43198913,344504.345773543,336184.745141781,342043.18362708,341820.113297545,338749.179737116,349721.048288874,359279.322268462,328371.949324394,336746.942964321,352219.178692983,344706.100196133,336756.199147329
"167.5",336565.873284977,319569.799907937,326792.556715965,327636.216045298,332844.866885862,330659.193370297,330181.241456243,321532.395742722,331829.309491031,324007.627924702,329540.186710847,329206.371584698,326450.979383512,337101.379091441,346146.436304879,316478.052025779,324620.557683402,339520.427974738,332189.209076856,324621.069878927
"172.5",319261.235535633,303269.523061372,309734.073149957,310716.336543071,315632.521853077,313753.30325591,312915.515317477,305195.685558818,314523.27343323,307394.898209916,312577.857300789,312047.627333813,309592.428630797,319803.303621118,328333.308907537,300275.236209715,308106.218706053,322042.545543183,315061.282984487,308058.986503936
"177.5",303279.464519947,288205.90924629,293914.568894919,295094.345286249,299698.795531346,298195.870029314,296983.664822469,290053.576844452,298542.656430925,292061.570847457,296999.631578377,296214.372677163,293957.749719597,303847.206564041,311911.810424174,285347.427412728,292890.47577331,305836.775813476,299261.347491348,292785.680524307
"182.5",284598.279387159,270497.638452761,275487.982368746,276775.210147274,281025.729075346,280003.160183491,278497.718504733,272241.741442434,279997.783258317,274131.91093831,278836.4931174,277801.086231197,275670.588335302,285214.522342847,292669.901874424,267876.322907398,275020.430993182,286901.437192602,280858.603084583,274899.41218476
"187.5",265173.367175701,252047.435862795,256446.997361682,257690.650901357,261539.468773547,261033.110277946,259364.124538172,253644.178745132,260829.484052962,255530.886220982,259933.913488954,258715.706696341,256683.33216578,265781.785513231,272587.838214746,249657.087866939,256362.878217607,267243.155489591,261752.92711823,256311.343884719
"192.5",244848.36691995,232782.238643706,236707.709991561,237773.782864711,241140.850480124,241073.215060119,239395.360956367,234123.56891263,240840.893201553,236127.508530613,240082.529895464,238786.977033332,236912.461182089,245327.396899671,251536.498487373,230487.790396891,236771.932771487,246723.982620203,241741.996783175,236900.56933607
"197.5",224098.719402202,213165.514795733,216690.631177016,217537.195531669,220395.3528173,220607.909070531,219046.042135596,214140.414226592,220433.646120339,216322.068113246,219766.332507862,218466.138604646,216862.843543285,224405.343597403,230091.619192901,210800.250760421,216708.644180202,225840.602521704,221311.304052258,217118.082667878
"202.5",203168.948272993,193399.571356233,196554.547085647,197229.380844177,199602.599430494,199965.058008502,198573.313004291,193988.60649269,199833.417735458,196285.255744413,199278.362856702,198007.205076654,196783.01083913,203388.705390894,208584.53420234,190919.508751093,196401.990160683,204853.329757996,200774.444969638,197151.554267174
"207.5",182429.501551298,173813.13715984,176605.249673843,177184.972483851,179113.496499308,179585.533880415,178344.286134991,174115.53937572,179436.71840216,176372.691048933,178993.315097453,177784.358436998,176963.121437627,182665.316987011,187376.722375283,171347.702452126,176213.427934839,184121.722180294,180509.922304167,177294.497674408
"212.5",162250.799298433,154737.341408144,157174.785997301,157703.119288115,159283.444067682,159832.543892157,158704.433861437,154894.739964986,159609.955973084,156969.590359573,159243.493100507,158134.773774897,157617.05098022,162520.780917863,166743.594277936,152484.953717762,156550.645153284,163974.770955696,160766.58778175,157860.980014246
"217.5",142844.51403286,136362.618800695,138501.381960125,138948.275847961,140331.176118092,140891.485453389,139873.677713845,136502.115440681,140557.702518148,138314.275437116,140244.732094135,139258.637201074,138884.855587624,143134.059661141,146857.970228136,134484.008233546,137727.103854151,144593.990724417,141654.342372488,139084.601206827
"222.5",124467.096361143,118950.940568227,120883.037065699,121177.441250833,122473.733809937,123003.905141484,122120.026598004,119166.321019394,122548.690594758,120688.261857377,122290.445146422,121436.764057566,121079.906732171,124818.266120892,128038.924146531,117524.740081739,120055.731635898,126219.914398087,123466.731085954,121280.39365738
"227.5",107313.843513434,102695.944808178,104462.081747296,104570.098558112,105810.356329361,106291.023097797,105566.293510475,103005.563793385,105742.092117604,104260.762400825,105548.839032365,104838.061791509,104437.845775757,107783.488922582,110498.79316503,101683.280725427,103642.54645388,109002.452243459,106464.349840123,104646.655785508
"232.5",91549.6351874704,87715.1904376374,89303.4863327299,89241.707953724,90418.0874765924,90820.9946627458,90269.9455572976,88069.8161737118,90242.9318136538,89117.0665721188,90121.6897499525,89539.603307888,89105.7075470954,92126.269805468,94348.5453093171,86996.6820900044,88520.6505284464,93074.0701129888,90821.4288438486,89310.3060006529
"237.5",77304.3359274533,74102.4914173158,75506.8511252301,75323.3292298641,76406.5414726123,76722.3463019528,76329.9627525566,74444.1016927448,76185.0879795737,75345.6062776549,76128.0788415133,75619.400292301,75206.4395589009,77907.6544604514,79701.3565738916,73575.5736688347,74785.6570146918,78601.8203936419,76667.1474369516,75399.2554466777
"242.5",64581.4607690076,61892.880712475,63110.0698944485,62878.6812446163,63817.137616106,64071.8191088996,63796.5172343825,62184.9458868334,63611.5328572055,62977.8209245726,63592.3259817722,63122.1957845861,62767.9133294881,65125.3930256595,66585.4373151241,61495.4894985191,62470.7885861459,65645.7579482533,64019.3834987331,62954.716794257
"247.5",53345.029445859,51109.7150602681,52125.2449129375,51907.6916735002,52670.9720148446,52894.7194145751,52696.7532949721,51332.5295978618,52505.2394217021,52026.6755185758,52500.7380154533,52093.1809806195,51782.2917384548,53789.8672253615,54989.5735036024,50793.3715403342,51564.99349285,54200.7715730454,52852.0133527191,51973.3076880284
"252.5",43545.0080059637,41728.5044977357,42550.2569007419,42350.6250859524,42962.9620779357,43165.6656676186,43019.9576097333,41878.2117346575,42832.54750833,42476.9956722653,42830.4232493013,42511.8320141784,42217.562701163,43898.8635557644,44886.1046233413,41463.7226328263,42044.028666907,44227.7304983744,43114.7865869044,42416.9210229575
"257.5",35121.4303773483,33672.7575876477,34346.7672600421,34134.0386099057,34645.1700540188,34820.8476508825,34718.2616822908,33774.9927847549,34548.0573594134,34276.2408512542,34536.5489324024,34291.2023274759,34021.2336905882,35412.8880186687,36221.643512532,33456.3839346276,33873.8583174049,35663.118709737,34747.3396273574,34222.5316516239
"262.5",27991.3350757044,26844.0683830682,27418.5870902551,27177.1649159053,27620.9890005989,27762.4666853411,27708.27618354,26938.6841854222,27559.1789566021,27333.7734926681,27530.6076238106,27327.0046308391,27107.5337725565,28245.0023681812,28893.6315492565,26679.7769058194,26983.0223481269,28417.6830071446,27667.488510655,27296.0185811034
"267.5",22047.703481537,21143.1861348351,21641.7574609728,21381.4062444009,21765.0573184639,21876.7977441118,21871.0254740733,21243.5419103921,21739.8813029723,21538.7889784331,21692.6453705662,21517.0998494439,21361.1634501423,22272.0438005467,22771.385605137,21025.6181904973,21262.7279049239,22381.1582589691,21766.6240578972,21521.1886837134
"272.5",17167.8467905277,16461.2181402222,16887.7642052219,16631.4685605697,16945.9533794409,17042.5289114386,17065.8655823563,16551.2289649635,16956.1134514393,16773.0250281746,16893.2926735504,16748.3251881014,16650.1946253445,17355.7797975243,17724.4173535129,16376.862918585,16578.4738360472,17426.2012537323,16921.8252324366,16772.6980845419
"277.5",13221.6910603826,12673.9236689615,13028.012129945,12799.8714731675,13038.2000601112,13128.9346188233,13157.0512048625,12739.3101039935,13073.047847123,12915.1985834458,13003.0037670793,12891.6294717575,12839.8883061185,13361.9119514852,13629.9761794723,12608.5816600998,12786.1315935208,13418.3817422027,13007.1783190051,12922.4265626418
"282.5",10072.6823619509,9648.39606911492,9934.17435318156,9747.6107531624,9916.03274370115,9999.99953724239,10019.4712778021,9690.55512816647,9958.50692684585,9836.38777187097,9890.9528778371,9810.45043975543,9795.89036686473,10161.9712634943,10362.588713885,9595.49260600469,9747.47799557603,10218.9234613683,9890.69466191786,9840.81349167239
"287.5",7588.96108847329,7260.22080065814,7486.23707076464,7340.39578153211,7455.25776749896,7528.81320390027,7537.45732889221,7286.95508882524,7492.81249800459,7408.34568991971,7433.42268331333,7378.00104215516,7390.99523108164,7635.86759654157,7793.07751476452,7220.55347421155,7342.00533875855,7694.65958786217,7440.87936756238,7405.86509428308
"292.5",5654.74233538657,5401.70271224992,5577.67096972886,5464.37875642098,5543.3328707785,5604.26320693103,5605.16693039913,5418.38807331496,5571.20643005225,5517.66548458345,5521.22481050436,5484.91851142195,5513.99340044956,5673.93540516976,5799.07623616381,5376.1743501535,5466.86946298442,5729.21282396984,5539.03578418399,5509.54676712444
"297.5",4165.55657088306,3973.66440134293,4108.77121237874,4019.91186041838,4076.84463658058,4123.88261020208,4121.00967804763,3982.92556667427,4094.62619427998,4063.04296541964,4053.43622738652,4030.51374448176,4065.7367307843,4170.20914041109,4267.9086900867,3959.8109703036,4025.11609688955,4217.75267036382,4078.1043071936,4051.59987805547
"302.5",9871.86195880056,9398.41810404366,9767.03634436758,9481.22900252991,9668.14626775758,9766.28459358722,9752.95917458408,9403.6801368372,9671.17824760775,9660.34969976665,9564.16957430834,9503.01683114328,9681.38615209138,9863.16937023596,10118.0135032363,9402.65954459057,9563.98059137966,10025.960554293,9662.68332214723,9581.38729096901
